# Rime user dictionary
#@/db_name	luna_pinyin_simp
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	44474
#@/user_id	ArchLinux
a 	啊	c=9 d=1 t=42959
shi ye 	事業	c=1 d=1 t=33942
shi yi 	事宜	c=1 d=1 t=17387
shi yi ge 	十一個	c=1 d=1 t=37689
shi yi tu 	示意圖	c=8 d=1 t=17254
shi yi xia 	試一下	c=2 d=0.1 t=44181
shi yi xia a 	試一下阿	c=1 d=1 t=44182
shi ying 	適應	c=1 d=1 t=12575
shi yong 	使用	c=77 d=1.00272 t=44474
shi yong 	試用	c=6 d=1.76218 t=27897
shi yong 	適用	c=1 d=1 t=3523
shi yong yu 	適用於	c=1 d=1 t=4949
shi zai 	實在	c=4 d=1.00005 t=43898
shi zhong 	時鐘	c=1 d=1 t=8474
shou 	受	c=1 d=1 t=26595
shou 	手	c=3 d=1 t=35502
shou 	首	c=2 d=1 t=12529
shou bu dao 	收不到	c=1 d=1 t=572
shou ce 	手冊	c=4 d=1 t=31045
shou dao 	受到	c=2 d=1.00041 t=35493
shou dong 	手動	c=47 d=1 t=42750
shou dong han guo 	手動韓國	c=1 d=1 t=23778
shou dong hui 	手動会	c=1 d=1 t=24110
shou du 	首都	c=1 d=1 t=29295
shou duan 	手段	c=6 d=1 t=27131
shou fei 	收費	c=3 d=2.31913 t=42295
shou gong 	手工	c=1 d=1 t=13176
shou gou 	收購	c=1 d=1 t=35200
shou le 	收了	c=1 d=1 t=11209
shou li 	手裏	c=2 d=1 t=24792
shou lu 	收錄	c=1 d=1 t=628
shou shen 	瘦身	c=1 d=1 t=25073
shou shi 	收拾	c=1 d=1 t=43373
shou xian 	首先	c=14 d=1.2246 t=28886
shou xie 	手寫	c=8 d=2.3119 t=36163
shou yi 	收益	c=2 d=1.51427 t=13122
shou yi lv 	收益率	c=1 d=1 t=16056
shou yong 	受用	c=1 d=1 t=13139
shu 	书	c=9 d=1 t=40680
shu 	数	c=24 d=1 t=39714
shu 	树	c=5 d=1 t=33399
shu chu 	輸出	c=20 d=1.00041 t=44392
shu duan 	书断	c=1 d=1 t=21857
shu fu 	舒服	c=2 d=1 t=39581
shu hui 	贖回	c=2 d=1.19989 t=15584
shu ju 	數據	c=94 d=1.94816 t=43437
shu ju 	書局	c=1 d=1 t=14209
shu ju ji 	數據集	c=7 d=1.04328 t=36668
shu ju ku 	數據庫	c=23 d=1 t=42981
shu li 	梳理	c=2 d=1.99501 t=39861
shu liang 	數量	c=7 d=1.956 t=42671
shu lie 	數列	c=1 d=1 t=12414
shu qi 	暑期	c=2 d=1.97045 t=43063
shu ru 	輸入	c=27 d=5.41676 t=42710
shu ru fa 	輸入法	c=4 d=3.62841 t=44474
shu xi 	熟悉	c=1 d=1 t=3195
shu xing 	屬性	c=1 d=1 t=41166
shu xing zhi 	属性值	c=1 d=1 t=41167
shu xu yao 	书需要	c=1 d=1 t=5122
shu xue 	數學	c=16 d=3.61954 t=14267
shu zi 	數字	c=14 d=1.01869 t=42820
shu zu 	數組	c=12 d=1 t=38779
shua 	刷	c=3 d=2.94099 t=37203
shua shua 	耍耍	c=1 d=1 t=25199
shua xin 	刷新	c=2 d=1 t=42940
shuai 	帅	c=1 d=1 t=9781
shuang hui 	雙匯	c=1 d=1 t=1407
shuang xiang 	雙向	c=1 d=1 t=632
shuang zi 	雙子	c=5 d=1.0567 t=28672
shui 	睡	c=2 d=1 t=35077
shui 	谁	c=16 d=1 t=42501
shui jiao 	睡觉	c=1 d=1 t=43343
shui ping 	水平	c=2 d=1.00041 t=33812
shui yi jue 	睡一覺	c=1 d=1 t=31559
shui zai 	水災	c=1 d=1 t=41071
shun feng 	順豐	c=6 d=2.91062 t=6105
shun hua 	順滑	c=2 d=1 t=42952
shun li 	順利	c=1 d=1 t=3553
shun xu 	順序	c=4 d=1 t=38349
shuo 	说	c=54 d=2.47929 t=44071
shuo bu qing chu 	說不清楚	c=3 d=1.98058 t=8447
shuo de 	說的	c=9 d=1.01675 t=34544
shuo ge 	說個	c=2 d=1 t=33920
shuo guo 	說過	c=2 d=1 t=26192
shuo hua 	说话	c=1 d=1 t=22579
shuo le 	說了	c=6 d=1 t=41323
shuo ming 	說明	c=4 d=1 t=28983
shuo ne 	說呢	c=2 d=1 t=27294
shuo shi 	說是	c=1 d=1 t=1889
shuo shi zai de 	說實在的	c=2 d=1 t=39176
shuo yi sheng 	說一聲	c=3 d=1 t=42253
shuo yi xia 	說一下	c=10 d=1 t=41674
si 	司	c=2 d=1.84366 t=43869
si 	四	c=2 d=1 t=37370
si 	斯	c=22 d=1 t=38837
si 	死	c=12 d=1 t=40909
si ge 	四個	c=9 d=2.8223 t=39533
si kao 	思考	c=3 d=1 t=22619
si le 	死了	c=2 d=1 t=12704
si liao 	私聊	c=1 d=1 t=37189
si lu 	思路	c=3 d=1 t=36433
si mu 	私募	c=3 d=1 t=35458
song dao 	送到	c=1 d=1 t=11076
sou gou 	搜狗	c=1 d=1 t=6946
sou suo 	搜索	c=20 d=1 t=35576
su du 	速度	c=3 d=1 t=43914
su lian 	蘇聯	c=1 d=1 t=19170
su yi shi 	蘇伊士	c=1 d=1 t=19057
suan 	算	c=136 d=1.55769 t=42238
suan 	酸	c=1 d=1 t=9524
suan cai yu 	酸菜鱼	c=1 d=1 t=15698
suan fa 	算法	c=40 d=1.34383 t=32389
suan le 	算了	c=11 d=1 t=41479
suan shi 	算是	c=1 d=1 t=23546
sui bian 	隨便	c=3 d=1 t=33148
sui ji 	隨機	c=32 d=1 t=31977
sui pian 	碎片	c=1 d=1 t=355
sui ran 	雖然	c=8 d=1.00028 t=28644
sui shi 	隨時	c=3 d=1 t=35966
sui zhe 	隨着	c=4 d=1.09598 t=14257
sun 	孙	c=3 d=1.70822 t=41331
sun huai 	損壞	c=1 d=1 t=43003
suo 	所	c=4 d=1.79852 t=26166
suo 	锁	c=2 d=1.71534 t=34307
suo ha 	梭哈	c=1 d=1 t=15291
suo yao 	索要	c=1 d=1 t=34658
suo yi 	所以	c=4 d=1 t=28597
suo yi shuo 	所以說	c=1 d=1 t=33127
suo yin 	索引	c=16 d=2.71651 t=42719
suo you 	所有	c=16 d=1 t=42057
suo zai 	所在	c=1 d=1 t=28607
ta 	他	c=55 d=2.60814 t=44024
ta 	她	c=13 d=1.00235 t=40767
ta 	它	c=12 d=1 t=26120
ta ma de 	他媽的	c=3 d=1 t=42012
ta men 	他們	c=73 d=2.00317 t=44402
ta men de 	他們的	c=1 d=1 t=35533
ta shi 	踏實	c=1 d=1 t=20673
tai 	台	c=7 d=1.00641 t=32132
tai 	太	c=27 d=1.00221 t=44032
tai 	态	c=1 d=1 t=4776
tai 	抬	c=1 d=1 t=31617
tai 	钛	c=2 d=1 t=35647
tai bu rong yi 	太不容易	c=1 d=1 t=41844
tai chang 	太長	c=1 d=1 t=9720
tai da 	太大	c=6 d=1 t=41504
tai du 	態度	c=1 d=1 t=43614
tai duo 	太多	c=16 d=1 t=42994
tai duo lai 	太多来	c=1 d=1 t=982
tai duo le 	太多了	c=2 d=1 t=34093
tai gao 	太高	c=2 d=1 t=33735
tai gao le 	太镐了	c=1 d=1 t=11216
tai guo yu 	太過於	c=1 d=1 t=37262
tai jiu 	太久	c=2 d=1 t=35725
tai kuai 	太快	c=1 d=1 t=33839
tai lao 	太老	c=1 d=1 t=5661
tai lao le 	太老了	c=1 d=1 t=33229
tai luan 	太亂	c=2 d=1.00081 t=41011
tai man 	太慢	c=2 d=1 t=35248
tai nan 	太難	c=1 d=1 t=18432
tai shi ji 	臺式機	c=7 d=0.895834 t=44474
tai wan 	臺灣	c=3 d=1 t=33432
tai zi 	檯子	c=1 d=1 t=16875
tan ce 	探測	c=1 d=1 t=16299
tan ce qi 	探測器	c=1 d=1 t=16306
tan qi 	叹气	c=1 d=1 t=31542
tan suo 	坍缩	c=1 d=1 t=32228
tan suo 	探索	c=2 d=1 t=14534
tan zhen 	探針	c=1 d=1 t=15987
tao 	套	c=1 d=1 t=2443
tao 	涛	c=2 d=1 t=31254
tao bao 	淘寶	c=1 d=1 t=31532
tao lu 	套路	c=1 d=1 t=2444
tao lun 	討論	c=11 d=1 t=41320
tao wa 	套娃	c=1 d=1 t=27533
te 	特	c=1 d=1 t=18950
te bie 	特別	c=6 d=1 t=40891
te dian 	特點	c=1 d=1 t=43299
te ding 	特定	c=19 d=1.06793 t=43298
te gang 	特鋼	c=1 d=1 t=18854
te shu 	特殊	c=2 d=1 t=19141
te shu xing 	特殊性	c=1 d=1 t=11262
te si la 	忒斯拉	c=2 d=1 t=12543
te xing 	特性	c=2 d=1 t=33797
te zheng 	特征	c=24 d=3.2447 t=33578
te zhi 	特徵	c=1 d=1 t=7311
teng xun 	騰訊	c=3 d=1 t=41266
ti 	提	c=16 d=1 t=41154
ti 	替	c=1 d=1 t=32176
ti 	题	c=1 d=1 t=16004
ti bu qi 	提不起	c=1 d=1 t=35671
ti che 	提車	c=2 d=1.956 t=34991
ti chu 	剔出	c=1 d=1 t=4195
ti chu 	剔除	c=5 d=1 t=18070
ti chu 	提出	c=6 d=1.8781 t=17465
ti dai 	替代	c=2 d=1 t=10412
ti dai pin 	替代品	c=3 d=1 t=31065
ti dai zhe 	提帶着	c=1 d=1 t=6815
ti du 	梯度	c=7 d=1 t=36256
ti gao 	提高	c=7 d=1 t=42627
ti ge 	提個	c=6 d=1.00245 t=23599
ti gong 	提供	c=24 d=1 t=35732
ti gong le 	提供了	c=1 d=1 t=13181
ti huan 	替換	c=22 d=0.97531 t=44474
ti jiao 	提交	c=25 d=1.14371 t=42476
ti le 	提了	c=13 d=1 t=41194
ti mu 	題目	c=0 d=0.1 t=28095
ti qian 	提前	c=1 d=1 t=43216
ti qu 	提取	c=4 d=1.79394 t=14777
ti sheng 	提升	c=2 d=1 t=12835
ti xing 	提醒	c=2 d=1 t=40073
ti yan 	體驗	c=3 d=1 t=36976
tian 	填	c=2 d=1 t=36177
tian 	天	c=2 d=1 t=33437
tian 	舔	c=1 d=1 t=30496
tian chong 	填充	c=6 d=1.04285 t=36916
tian gou 	舔狗	c=1 d=1 t=30493
tian jia 	添加	c=20 d=1.00005 t=43481
tian man 	填滿	c=1 d=1 t=33057
tian qi 	天氣	c=3 d=1 t=42762
tian tan 	天壇	c=3 d=1 t=20638
tian tian 	天天	c=10 d=1 t=43839
tian wen 	天問	c=3 d=1.98193 t=8153
tiao 	条	c=4 d=1.94649 t=38558
tiao 	调	c=9 d=1.04221 t=27935
tiao 	跳	c=3 d=1 t=35802
tiao dong 	跳動	c=1 d=1 t=7137
tiao guo 	跳過	c=2 d=1 t=24545
tiao guo qu 	跳過去	c=1 d=1 t=40279
tiao huan 	調換	c=1 d=1 t=18084
tiao jian 	條件	c=2 d=1 t=13949
tiao jie 	調節	c=1 d=1 t=37691
tiao li 	調理	c=1 d=1 t=40881
tiao lou 	跳樓	c=1 d=1 t=12618
tiao shi 	調試	c=9 d=1 t=43718
tiao wen 	條文	c=1 d=1 t=20362
tiao xuan 	挑選	c=1 d=1 t=29860
tiao zheng 	調整	c=20 d=0.105248 t=43655
tiao zheng cheng 	調整成	c=1 d=1 t=36290
tiao zhuan 	跳轉	c=6 d=1 t=35214
tie 	贴	c=4 d=1 t=43887
ting 	停	c=4 d=1 t=32777
ting 	听	c=3 d=1 t=44004
ting 	婷	c=1 d=1 t=9500
ting 	挺	c=13 d=1.02945 t=41663
ting bu xia lai 	停不下來	c=1 d=1 t=20388
ting da 	挺大	c=2 d=1 t=44263
ting dao 	聽到	c=0 d=0.1 t=16322
ting dao de 	聽到的	c=1 d=1 t=16323
ting diao 	停掉	c=1 d=1 t=20030
ting diao le 	停掉了	c=1 d=1 t=11203
ting duo 	挺多	c=1 d=1 t=33279
ting duo de 	挺多的	c=1 d=1 t=21310
ting hao 	挺好	c=3 d=1 t=31232
ting hao de 	挺好的	c=2 d=1 t=29596
ting le 	停了	c=4 d=1.0027 t=9344
ting lei 	挺累	c=1 d=1 t=40876
ting shuo 	听说	c=1 d=1 t=43089
ting zhi 	停止	c=2 d=1.956 t=19598
ting zhi diao 	停止掉	c=1 d=1 t=11844
tong 	同	c=2 d=1 t=37632
tong 	通	c=7 d=1 t=37374
tong bu 	同步	c=21 d=1.99005 t=42505
tong dao 	通道	c=3 d=2.72161 t=33747
tong guo 	通過	c=35 d=1 t=44453
tong hua shun 	同花順	c=3 d=1 t=35446
tong ji 	同級	c=1 d=1 t=5245
tong ji 	統計	c=6 d=1 t=36018
tong ku 	痛苦	c=2 d=1.00454 t=10805
tong pei fu 	通配符	c=2 d=1.93707 t=19872
tong qin 	通勤	c=1 d=1 t=31453
tong shi 	同事	c=17 d=1.27478 t=43974
tong shi 	同時	c=32 d=1 t=40445
tong su 	通俗	c=3 d=1.00271 t=14894
tong xue 	同學	c=12 d=1 t=39520
tong yang 	同樣	c=4 d=1 t=40304
tong yi 	同意	c=2 d=1.45384 t=30859
tong yi 	統一	c=35 d=1.01661 t=42492
tong yi ge 	同一個	c=6 d=1.00742 t=39775
tong yi hua 	統一化	c=3 d=1.0299 t=29480
tong yong 	通用	c=2 d=1 t=15863
tong zhi 	通知	c=3 d=1 t=32811
tong zhuo 	同桌	c=2 d=1.90032 t=33907
tou 	头	c=1 d=0.960789 t=44474
tou che 	透徹	c=1 d=1 t=8222
tou da 	头大	c=1 d=1 t=34877
tou lan 	偷懶	c=1 d=1 t=4411
tou liang huan zhu 	偷樑換柱	c=1 d=1 t=6546
tou ming 	透明	c=2 d=1.00064 t=38544
tou su 	投訴	c=1 d=1 t=43888
tou teng 	頭疼	c=3 d=1.81058 t=41018
tou teng de 	頭疼的	c=1 d=1 t=12167
tou tiao 	頭條	c=2 d=1.98511 t=42908
tou wen jian 	頭文件	c=18 d=1.01853 t=39985
tou xiang 	頭像	c=1 d=1 t=6021
tu 	图	c=7 d=1.00003 t=37085
tu 	土	c=1 d=1 t=9107
tu biao 	圖標	c=1 d=1 t=352
tu ceng 	圖層	c=3 d=1.00723 t=7772
tu chu lai 	吐出來	c=2 d=1 t=39779
tu jing 	途徑	c=2 d=1.93239 t=29761
tu pian 	圖片	c=7 d=1.02624 t=37784
tu ran 	突然	c=3 d=1.00006 t=41446
tu shou 	徒手	c=1 d=1 t=11867
tu xing 	圖形	c=3 d=1 t=41360
tuan dui 	團隊	c=7 d=1.80252 t=26302
tui 	推	c=1 d=1 t=31433
tui bo zhu lan 	推波助瀾	c=1 d=1 t=13028
tui chu 	推出	c=3 d=1 t=17936
tui chu 	退出	c=6 d=1.00353 t=22023
tui dao 	推導	c=1 d=1 t=2935
tui dao 	退到	c=3 d=1.97045 t=27782
tui dong 	推動	c=5 d=1 t=44101
tui duan 	推斷	c=3 d=1.7092 t=42645
tui guang 	推廣	c=1 d=1 t=2758
tui hua 	退化	c=1 d=1 t=6541
tui huo 	退火	c=10 d=4.05686 t=14193
tui jian 	推薦	c=5 d=1 t=35654
tui li 	推理	c=15 d=1 t=41679
tui song 	推送	c=3 d=1.09301 t=12137
tun tu 	吞吐	c=2 d=1.72615 t=39436
tun tu liang 	吞吐量	c=1 d=1 t=28152
tuo 	托	c=1 d=1 t=35724
tuo feng 	駝峯	c=1 d=1 t=33523
tuo zhan 	拓展	c=3 d=1 t=16678
wa er te 	瓦爾特	c=1 d=1 t=38304
wa gong 	瓦工	c=0 d=0.1 t=39595
wai 	外	c=1 d=1 t=28897
wai bu 	外部	c=13 d=7.55037 t=34826
wai ceng 	外層	c=1 d=1 t=31706
wai gua 	外掛	c=1 d=1 t=35246
wai hang 	外行	c=1 d=1 t=7969
wai mian 	外面	c=5 d=1 t=35184
wai wang 	外網	c=1 d=1 t=41398
wai wei 	外圍	c=3 d=2.97025 t=43961
wai xing ren 	外星人	c=1 d=1 t=34279
wai zi 	外資	c=1 d=1 t=13025
wan 	万	c=3 d=1.16948 t=35452
wan 	晚	c=4 d=1 t=29278
wan 	玩	c=11 d=1 t=43544
wan bei 	完備	c=1 d=1 t=5201
wan cheng 	完成	c=11 d=1 t=29736
wan dian 	晚點	c=8 d=1 t=36110
wan du zi 	完犊子	c=1 d=1 t=16291
wan e 	萬惡	c=1 d=1 t=15560
wan le 	完了	c=4 d=1 t=35639
wan mei 	完美	c=2 d=1 t=33358
wan quan 	完全	c=13 d=1.00047 t=30708
wan shan 	完善	c=3 d=1 t=29768
wan shang 	晚上	c=29 d=1.42055 t=41125
wan yi er 	玩意兒	c=19 d=1 t=44458
wan zheng 	完整	c=6 d=1 t=40728
wan zheng xing 	完整性	c=1 d=1 t=10293
wang 	王	c=10 d=1.95123 t=27340
wang 	网	c=1 d=1 t=1890
wang dao 	王道	c=1 d=1 t=33422
wang ge 	網格	c=5 d=1.90484 t=28052
wang ji 	忘記	c=11 d=1.00078 t=41500
wang ji 	網際	c=1 d=1 t=1829
wang luo 	网络	c=20 d=2.68478 t=43897
wang shi 	往事	c=1 d=1 t=8320
wang su 	網速	c=1 d=1 t=20182
wang ye 	網頁	c=7 d=1 t=43832
wang yi 	王毅	c=2 d=1 t=19829
wang zhan 	網站	c=4 d=1.18731 t=25631
wang zhi 	網址	c=7 d=1 t=43361
wei 	为	c=31 d=1.00044 t=44237
wei 	伟	c=4 d=1.0542 t=43019
wei 	位	c=1 d=1 t=25097
wei 	未	c=1 d=1 t=4978
wei 	维	c=18 d=1.0542 t=43018
wei 	薇	c=1 d=1 t=6107
wei bei 	違背	c=1 d=1 t=15225
wei bi 	未必	c=1 d=1 t=38516
wei da 	爲大	c=1 d=1 t=24601
wei du 	維度	c=11 d=1 t=33576
wei er ji 	威爾基	c=1 d=1 t=17676
wei hu 	維護	c=8 d=1 t=33158
wei kong 	爲空	c=1 d=1 t=7497
wei lai 	未來	c=4 d=1.24537 t=29014
wei le 	爲了	c=19 d=1.00033 t=43717
wei mi bu zhen 	委靡不振	c=1 d=1 t=36056
wei pan 	尾盤	c=1 d=1 t=917
wei ruan 	微軟	c=2 d=1 t=35420
wei sha 	爲啥	c=23 d=1.03042 t=44035
wei shen me 	爲什麼	c=5 d=1 t=42066
wei shou 	爲首	c=1 d=1 t=16272
wei suo 	萎縮	c=1 d=1 t=15656
wei yi 	唯一	c=3 d=1.1764 t=34498
wei zhi 	位置	c=2 d=1 t=16289
wei zhi 	未知	c=4 d=1.00002 t=16288
wei zhun 	爲準	c=2 d=1.00018 t=27728
wen 	文	c=49 d=1.03628 t=43668
wen 	问	c=17 d=1.00002 t=43669
wen ben 	文本	c=2 d=1.06298 t=33312
wen dang 	文檔	c=17 d=1 t=43148
wen ding 	穩定	c=19 d=1.00001 t=40347
wen ding ban 	稳定板	c=1 d=1 t=22665
wen ding de 	稳定的	c=1 d=1 t=12653
wen ding xing 	穩定性	c=2 d=1 t=9816
wen du 	溫度	c=3 d=2.86712 t=14188
wen hou 	問候	c=1 d=1 t=40088
wen jian 	文件	c=147 d=3.58772 t=43305
wen jian jia 	文件夾	c=9 d=1.00012 t=41912
wen ju 	文具	c=6 d=1.03454 t=14074
wen jun 	文俊	c=1 d=1 t=12539
wen le 	問了	c=1 d=1 t=37922
wen ping 	文憑	c=1 d=1 t=31536
wen ta 	問他	c=2 d=1 t=24709
wen ti 	問題	c=379 d=2.36283 t=44474
wen ting 	聞聽	c=1 d=1 t=26201
wen wen 	問問	c=20 d=1.00005 t=44438
wen wen kan 	問問看	c=1 d=1 t=40276
wen wen ta 	問問他	c=1 d=1 t=30947
wen yi xia 	問一下	c=1 d=1 t=2151
wo 	喔	c=1 d=1 t=12463
wo 	我	c=1417 d=6.36885 t=44474
wo ben di 	我本地	c=1 d=1 t=37098
wo cao 	卧操	c=5 d=1.39455 t=40857
wo de 	我的	c=4 d=1 t=28592
wo men 	我們	c=340 d=5.19665 t=44424
wo ne tian 	我呢天	c=4 d=1 t=35624
wo qu 	我去	c=13 d=1 t=25493
wo shi 	我是	c=1 d=1 t=43612
wo xian 	我先	c=1 d=1 t=5686
wu 	五	c=2 d=1 t=32569
wu 	吴	c=2 d=1.00275 t=35454
wu 	无	c=3 d=1.92774 t=42896
wu cao zuo 	誤操作	c=1 d=1 t=5965
wu cha 	誤差	c=7 d=1.08543 t=37474
wu fa 	無法	c=14 d=1.00985 t=43567
wu hua ba men 	五花八門	c=2 d=1 t=29545
wu li 	物理	c=4 d=1 t=41788
wu liao 	無聊	c=2 d=1 t=35628
wu meng da 	吴孟达	c=1 d=1 t=9375
wu neng wei li 	無能爲力	c=1 d=1 t=22967
wu shui 	午睡	c=1 d=1 t=38950
wu suo wei 	无所谓	c=2 d=1 t=41689
wu xian 	無線	c=1 d=1 t=42173
wu xian 	無限	c=1 d=1 t=34610
wu xiao 	無效	c=2 d=1 t=31932
wu xu 	無需	c=6 d=1.03159 t=29795
wu yi 	五一	c=1 d=1 t=25502
wu yong 	毋庸	c=1 d=1 t=2533
wu yong 	無用	c=1 d=1 t=2535
wu yong 	誤用	c=1 d=1 t=2534
xi 	吸	c=1 d=1 t=33637
xi 	息	c=1 d=1 t=756
xi 	系	c=4 d=2.31485 t=10330
xi fang 	西方	c=1 d=1 t=16274
xi fu er 	媳婦兒	c=1 d=1 t=30499
xi gou 	析构	c=5 d=3.23781 t=38369
xi gua 	西瓜	c=1 d=1 t=2788
xi guan 	習慣	c=1 d=1 t=41693
xi huo 	熄火	c=1 d=1 t=18212
xi jie 	細節	c=2 d=1 t=34245
xi jin ping 	習近平	c=1 d=1 t=6995
xi ju 	戲劇	c=1 d=1 t=19851
xi kan 	細看	c=1 d=1 t=33091
xi qi gu guai 	稀奇古怪	c=1 d=1 t=29564
xi shu 	係數	c=3 d=1 t=14168
xi shu ju zhen 	稀疏矩阵	c=1 d=1 t=14571
xi tong 	系統	c=72 d=4.63778 t=44327
xi wang 	希望	c=9 d=1 t=43487
xi xie 	溪蟹	c=1 d=1 t=30378
xi yang 	夕陽	c=1 d=1 t=746
xia 	下	c=77 d=2.25351 t=44366
xia 	吓	c=1 d=1 t=36051
xia 	瞎	c=6 d=1 t=32900
xia ba 	下巴	c=2 d=1.9802 t=34287
xia ban nian 	下半年	c=1 d=1 t=39930
xia biao 	下標	c=1 d=1 t=12866
xia bu lai 	下不來	c=1 d=1 t=9093
xia ci 	下次	c=5 d=1.93707 t=39707
xia dan 	下單	c=1 d=1 t=26478
xia diao 	瞎掉	c=1 d=1 t=13269
xia die 	下跌	c=1 d=1 t=15259
xia jia 	下架	c=4 d=1.65054 t=9484
xia jiang 	下降	c=2 d=1 t=37989
xia lai 	下來	c=12 d=1 t=40348
xia men 	廈門	c=1 d=1 t=24786
xia mian 	下面	c=15 d=1.00137 t=43395
xia qu 	下去	c=1 d=1 t=21594
xia ren 	嚇人	c=1 d=1 t=38777
xia wo 	嚇我	c=1 d=1 t=35801
xia wu 	下午	c=21 d=1.91216 t=42203
xia wu 	狎侮	c=1 d=1 t=22887
xia xia lai 	下下來	c=1 d=1 t=18271
xia xian 	下線	c=2 d=1.00048 t=3894
xia yi ci 	下一次	c=1 d=1 t=13982
xia yi ge 	下一個	c=3 d=1 t=43695
xia zai 	下載	c=33 d=1.97792 t=43924
xia zhou 	下週	c=4 d=1 t=31477
xia zhou chu 	下周初	c=1 d=1 t=30994
xian 	先	c=161 d=1.42816 t=43902
xian 	线	c=3 d=1.9802 t=32017
xian chang 	現場	c=4 d=1.0567 t=30724
xian cheng 	現成	c=2 d=1 t=26509
xian cheng 	線程	c=17 d=3.3198 t=40760
xian dai 	現代	c=1 d=1 t=16340
xian dao 	先導	c=3 d=1.08046 t=44469
xian de 	顯得	c=1 d=1 t=40535
xian ding 	限定	c=1 d=1 t=33577
xian duan 	線段	c=1 d=1 t=8008
xian gei wo 	先給我	c=1 d=1 t=43254
xian jin qu 	陷進去	c=1 d=1 t=33445
xian ka 	顯卡	c=11 d=2.29647 t=42143
xian kan 	先看	c=1 d=1 t=22812
xian shang 	線上	c=1 d=1 t=31820
xian sheng 	先生	c=1 d=1 t=15309
xian shi 	顯示	c=10 d=1.00031 t=43915
xian shi qi 	顯示器	c=1 d=1 t=43377
xian shi zhong 	現實中	c=1 d=1 t=41188
xian tian 	先天	c=1 d=1 t=15368
xian xiang 	現象	c=1 d=1 t=24423
xian xing 	線性	c=2 d=1 t=8430
xian zai 	現在	c=170 d=1.29999 t=44364
xian zai shi 	現在是	c=1 d=1 t=6196
xian zhi 	閒置	c=1 d=1 t=34404
xian zhi 	限制	c=28 d=1.00001 t=44090
xian zhi zhong 	限制中	c=2 d=1.97045 t=5526
xian zhu 	顯著	c=1 d=1 t=31797
xiang 	像	c=2 d=1 t=39168
xiang 	向	c=11 d=1.36059 t=40096
xiang 	想	c=26 d=1.00059 t=42990
xiang 	香	c=2 d=1 t=42962
xiang ban fa 	想辦法	c=0 d=0.1 t=19873
xiang bi 	相比	c=1 d=1 t=13173
xiang bi er yi 	相比而已	c=1 d=1 t=10492
xiang chu 	相處	c=2 d=1 t=39285
xiang dang 	相當	c=2 d=1 t=42170
xiang dang ran 	想當然	c=1 d=1 t=18281
xiang dao 	想到	c=5 d=1.01716 t=40012
xiang dui 	相對	c=10 d=1 t=42317
xiang fa 	想法	c=3 d=1.9802 t=39281
xiang gang 	香港	c=1 d=1 t=7293
xiang guan 	相關	c=24 d=1 t=32556
xiang guan xing 	相關性	c=1 d=1 t=35572
xiang hu 	相互	c=2 d=1 t=14901
xiang kan kan 	想看看	c=1 d=1 t=29134
xiang liang hua 	向量化	c=7 d=1 t=32760
xiang mu 	項目	c=8 d=1 t=42768
xiang qi lai 	想起來	c=1 d=1 t=43171
xiang qin 	相親	c=1 d=1 t=31512
xiang shang 	向上	c=2 d=1.00003 t=3896
xiang tong 	相同	c=6 d=1 t=36490
xiang xi 	詳細	c=9 d=1.69639 t=36396
xiang xia 	向下	c=2 d=1 t=38997
xiang xiang 	想想	c=1 d=1 t=26253
xiang xiang ban fa 	想想辦法	c=1 d=1 t=19874
xiang yue 	相約	c=1 d=1 t=31482
xiang zai 	想在	c=16 d=1.02918 t=10752
xiao 	小	c=17 d=0.100228 t=43655
xiao 	晓	c=1 d=1 t=5598
xiao 	肖	c=1 d=1 t=5597
xiao chi dian 	小喫店	c=1 d=1 t=42889
xiao chu 	消除	c=15 d=0.126159 t=41983
xiao da xiao nao 	小打小鬧	c=1 d=1 t=15653
xiao fei 	消費	c=1 d=1 t=15635
xiao gu niang 	小姑娘	c=1 d=1 t=36222
xiao guo 	效果	c=8 d=1.00756 t=39547
xiao hao pin 	消耗品	c=1 d=1 t=35031
xiao hua 	消化	c=1 d=1 t=15576
xiao hui 	銷毀	c=4 d=1.07532 t=42290
xiao huo ban 	小夥伴	c=1 d=1 t=1221
xiao huo zi 	小夥子	c=8 d=1.0032 t=38001
xiao kuai 	小塊	c=1 d=1 t=7609
xiao lv 	效率	c=6 d=1 t=39367
xiao ma cun 	小马村	c=1 d=1 t=7686
xiao neng shou 	小能手	c=1 d=1 t=31901
xiao qian 	小錢	c=2 d=1 t=33851
xiao qing xu 	小情緒	c=1 d=1 t=36383
xiao shi 	小時	c=7 d=1.92774 t=41604
xiao shu 	小數	c=1 d=1 t=38076
xiao shu dian 	小數點	c=1 d=1 t=7468
xiao tiao zheng 	小調整	c=1 d=1 t=43656
xiao wen ti 	小問題	c=1 d=1 t=38380
xiao xi 	消息	c=4 d=1.62748 t=43419
xiao xie 	小寫	c=1 d=1 t=40037
xiao xin 	小心	c=1 d=1 t=33744
xiao xin yan 	小心眼	c=1 d=1 t=39213
xiao xue 	小學	c=0 d=0.1 t=15485
xiao xue di 	小學弟	c=1 d=1 t=15486
xiao yi dian 	小一點	c=1 d=1 t=38407
xiao zhong 	小衆	c=1 d=1 t=7758
xie 	些	c=15 d=1 t=43740
xie 	写	c=56 d=1.00096 t=44175
xie 	协	c=2 d=1 t=16515
